#latitude	longitude	dummy
48.4758	-116.8474	0
48.475552	-122.324799	0
48.475552	-122.324799	0
48.4651818	-120.4987335	0
48.463885	-120.173399	0
48.4555	-115.890101	0
48.44651117	-120.4348755	0
48.443472	-93.026873	0
48.443337	-122.343516	0
48.44013426	-120.4101563	0
48.4393	-120.16814	0
48.438164	-93.020439	0
48.420737	-97.410948	0
48.417109	-115.300442	0
48.416	-119.518	0
48.4082377	-119.9047852	0
48.405197	-120.141487	0
48.39638531	-114.4775391	0
48.395603	-115.568848	0
48.39410569	-117.1987152	0
48.390816	-122.644818	0
48.38909016	-114.543457	0
48.384826	-114.335592	0
48.37449672	-119.9061584	0
48.3739	-114.1791	0
48.3739	-114.1791	0
48.369621	-114.177206	0
48.3683	-124.6236	0
48.36816	-124.62382	0
48.3676546	-117.1801758	0
48.3661	-124.6244	0
48.355667	-122.448487	0
48.3552	-100.19286	0
48.351829	-114.241206	0
48.345073	-114.335593	0
48.33982052	-113.9460754	0
48.3318	-116.5273	0
48.328	-96.906	0
48.32155	-116.376709	0
48.31471118	-120.276947	0
48.30877444	-113.9776611	0
48.30786104	-113.9680481	0
48.30576	-124.43508	0
48.305433	-124.433881	0
48.29598527	-113.9007568	0
48.29187379	-120.6346893	0
48.28958948	-113.9213562	0
48.28867573	-113.3706665	0
48.28857	-118.14508	0
48.28136515	-121.3879395	0
48.278607	-116.348195	0
48.27770947	-113.420105	0
48.27725249	-121.5781403	0
48.27588153	-115.9579468	0
48.268938	-92.472691	0
48.26856911	-115.8563232	0
48.26582669	-113.8142395	0
48.2657	-101.3093	0
48.264876	-92.484276	0
48.264673	-124.300655	0
48.260868	-92.476095	0
48.249837	-121.610149	0
48.24936905	-120.2501678	0
48.248698	-114.254393	0
48.24754009	-116.2174988	0
48.24662559	-121.1984253	0
48.23839434	-113.7936401	0
48.238362	-116.27929	0
48.2362	-124.5694	0
48.2362	-124.5694	0
48.23244873	-121.2265778	0
48.23016177	-115.864563	0
48.229788	-101.252593	0
48.22718857	-121.5723038	0
48.22467265	-116.2916565	0
48.223783	-114.246718	0
48.223449	-114.25672	0
48.22330028	-120.449295	0
48.21643787	-113.8114929	0
48.21277754	-113.764801	0
48.211937	-101.265174	0
48.211151	-101.252593	0
48.21026	-101.25206	0
48.20651	-114.301061	0
48.205	-103.6985	0
48.20499847	-120.6092834	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.203676	-114.330196	0
48.20362558	-120.3668976	0
48.2029	-116.5388	0
48.20271029	-114.5846558	0
48.20225264	-120.4135895	0
48.1969	-122.6677	0
48.19658	-106.61998	0
48.19538741	-117.0483398	0
48.19492969	-120.5756378	0
48.186705	-117.041093	0
48.18531674	-120.590744	0
48.18440113	-116.4015198	0
48.17707563	-120.5756378	0
48.17570198	-120.5969238	0
48.175262	-116.663057	0
48.174129	-117.723328	0
48.17066496	-121.4463043	0
48.169519	-117.076027	0
48.16791728	-120.5687714	0
48.159969	-123.708937	0
48.15692511	-120.4994202	0
48.15626	-122.26576	0
48.15509285	-123.8433838	0
48.15405	-124.66627	0
48.15217	-124.66757	0
48.150995	-122.191386	0
48.146209	-122.303052	0
48.14226522	-113.8238525	0
48.141986	-116.591903	0
48.13126755	-113.8114929	0
48.127	-98.867	0
48.12594	-118.23068	0
48.12210103	-113.7112427	0
48.11889236	-120.3181458	0
48.11797556	-121.8720245	0
48.117936	-123.431851	0
48.116638	-122.760033	0
48.11568349	-121.8527985	0
48.11339132	-121.8411255	0
48.1101821	-121.8960571	0
48.109958	-123.385264	0
48.10926515	-121.8830109	0
48.10014	-116.629207	0
48.098983	-123.55428	0
